id	name	type	parentshortcut	opshortcut	path	relPath	parentPath	wirePath	depth	tags	isCOMP	nodeX	nodeY	nodeWidth	nodeHeight	dockId	recursiveChildren
9728	text	textCOMP			/project2/elec_colores_container2/boton_colores_4/text	project2/elec_colores_container2/boton_colores_4/text	/project2/elec_colores_container2/boton_colores_4	text	4		1	130	74	113	96	-1	0
9729	parexec1	parameterexecuteDAT			/project2/elec_colores_container2/boton_colores_4/parexec1	project2/elec_colores_container2/boton_colores_4/parexec1			4		0	130	-50	128	66	-1	0
9730	panelexec1	panelexecuteDAT			/project2/elec_colores_container2/boton_colores_4/panelexec1	project2/elec_colores_container2/boton_colores_4/panelexec1			4		0	310	-50	126	62	-1	0
9731	boton_colores_5	buttonCOMP			/project2/elec_colores_container2/boton_colores_5	project2/elec_colores_container2/boton_colores_5	/project2/elec_colores_container2	boton_colores_5	3		1	505	-442	160	134	-1	5
9733	par1	parameterCHOP			/project2/elec_colores_container2/boton_colores_5/par1	project2/elec_colores_container2/boton_colores_5/par1			4		0	130	220	130	90	-1	0
9734	text	textCOMP			/project2/elec_colores_container2/boton_colores_5/text	project2/elec_colores_container2/boton_colores_5/text	/project2/elec_colores_container2/boton_colores_5	text	4		1	130	74	113	96	-1	0
9735	parexec1	parameterexecuteDAT			/project2/elec_colores_container2/boton_colores_5/parexec1	project2/elec_colores_container2/boton_colores_5/parexec1			4		0	130	-50	128	66	-1	0
9736	panelexec1	panelexecuteDAT			/project2/elec_colores_container2/boton_colores_5/panelexec1	project2/elec_colores_container2/boton_colores_5/panelexec1			4		0	310	-50	126	62	-1	0
9737	boton_colores_6	buttonCOMP			/project2/elec_colores_container2/boton_colores_6	project2/elec_colores_container2/boton_colores_6	/project2/elec_colores_container2	boton_colores_6	3		1	755	-442	160	134	-1	5
9739	par1	parameterCHOP			/project2/elec_colores_container2/boton_colores_6/par1	project2/elec_colores_container2/boton_colores_6/par1			4		0	130	220	130	90	-1	0
9740	text	textCOMP			/project2/elec_colores_container2/boton_colores_6/text	project2/elec_colores_container2/boton_colores_6/text	/project2/elec_colores_container2/boton_colores_6	text	4		1	130	74	113	96	-1	0
9741	parexec1	parameterexecuteDAT			/project2/elec_colores_container2/boton_colores_6/parexec1	project2/elec_colores_container2/boton_colores_6/parexec1			4		0	130	-50	128	66	-1	0
9742	panelexec1	panelexecuteDAT			/project2/elec_colores_container2/boton_colores_6/panelexec1	project2/elec_colores_container2/boton_colores_6/panelexec1			4		0	310	-50	126	62	-1	0
9743	boton_colores_7	buttonCOMP			/project2/elec_colores_container2/boton_colores_7	project2/elec_colores_container2/boton_colores_7	/project2/elec_colores_container2	boton_colores_7	3		1	1005	-442	160	134	-1	5
